Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Valor bruto;Valor por m2;Valor bruto por m2;Tipo agrupado
Casa;Lurigancho;2;0;1;100;7000.0;0.0;7000.0;70.0;70.0;Casa
Casa;Lince;4;1;2;400;12000.0;0.0;12000.0;30.0;30.0;Casa
Casa;Santa Anita;2;0;0;51;1500.0;50.0;1550.0;29.41;30.39;Casa
Casa;San Luis;8;3;5;259;7000.0;0.0;7000.0;27.03;27.03;Casa
Casa;Breña;1;0;0;33;1200.0;0.0;1200.0;36.36;36.36;Casa
Casa;Lurín;3;2;1;135;3000.0;0.0;3000.0;22.22;22.22;Casa
Casa;San Borja;2;0;0;40;950.0;0.0;1000.0;23.75;25.0;Casa
Casa;San Miguel;4;1;1;191;4000.0;300.0;4300.0;20.94;22.51;Casa
Casa;Mi Perú;5;4;2;450;7000.0;0.0;7500.0;15.56;16.67;Casa
Casa;San Juan de Miraflores;2;1;0;59;1200.0;170.0;1370.0;20.34;23.22;Casa
Casa;Lince;3;0;0;200;2100.0;0.0;2100.0;10.5;10.5;Casa
Casa;Chaclacayo;2;0;0;51;1000.0;0.0;1000.0;19.61;19.61;Casa
Casa;Santa Rosa;2;0;0;70;1100.0;0.0;1100.0;15.71;15.71;Casa
Casa;Lurigancho;2;4;1;107;9500.0;0.0;10591.0;88.79;98.98;Casa
Casa;Jesús María;4;4;2;367;12000.0;0.0;12653.0;32.7;34.48;Casa
Casa;Chorrillos;12;5;0;500;18000.0;0.0;19800.0;36.0;39.6;Casa
Casa;Lurín;10;0;10;300;15000.0;0.0;15220.0;50.0;50.73;Casa
Casa;Lince;2;1;2;100;1500.0;0.0;1530.0;15.0;15.3;Casa
Casa;Villa El Salvador;2;1;0;70;1900.0;580.0;2505.0;27.14;35.79;Casa
Casa;Pucusana;5;3;0;260;7000.0;0.0;7163.0;26.92;27.55;Casa
Casa;Mi Perú;1;0;0;40;850.0;0.0;850.0;21.25;21.25;Casa
Casa;Bellavista;1;0;0;35;400.0;0.0;400.0;11.43;11.43;Casa
Casa;Jesús María;3;2;1;321;9000.0;1400.0;10400.0;28.04;32.4;Casa
Casa;San Luis;3;1;0;100;2100.0;250.0;2350.0;21.0;23.5;Casa
Casa;Lince;2;1;0;100;1300.0;0.0;1300.0;13.0;13.0;Casa
Casa;Lince;2;0;0;70;1000.0;0.0;1000.0;14.29;14.29;Casa
Casa;Ate;4;6;2;232;6500.0;1100.0;8400.0;28.02;36.21;Casa
Casa;El Agustino;2;0;0;40;950.0;0.0;950.0;23.75;23.75;Casa
Casa;Mi Perú;3;6;1;280;2800.0;0.0;2990.0;10.0;10.68;Casa
Casa;Lince;5;2;5;120;10000.0;0.0;10000.0;83.33;83.33;Casa
Casa;Villa El Salvador;7;10;2;500;12000.0;0.0;12020.0;24.0;24.04;Casa
Casa;Ate;4;6;2;800;9800.0;0.0;10290.0;12.25;12.86;Casa
Casa;Jesús María;3;0;0;614;4500.0;0.0;5076.0;7.33;8.27;Casa
Casa;San Miguel;4;6;0;160;3500.0;0.0;3500.0;21.88;21.88;Casa
Casa;Ate;2;0;0;95;1100.0;0.0;1100.0;11.58;11.58;Casa
